year,title,keyword
2002,Networks on Chip - A New Paradigm for Systems on Chip Design.,Design space exploration
2002,Managing Power Consumption in Networks on Chip.,power consumption
2002,Communication Mechanisms for Parallel DSP Systems on a Chip,NoC for DSP
2002,"An interconnect-aware methodology for analog and mixed signal design, based on high bandwidth (over 40 GHz) on-chip transmission line approach",transmission line
2002,Networks on Silicon: Combining Best-Effort and Guaranteed Services,flow control
2003,Packetized On-Chip Interconnect Communication Analysis for MPSoC,power model
2003,On-Chip Stochastic Communication,fault tolerance
2003,"SPIN: A Scalable, Packet Switched, On-Chip Micro-Network",NoC for many-core
2003,Scheduling and Timing Analysis of HW/SW On-Chip Communication in MP SoC Design,scheduling
2003,Communication Centric Architectures for Turbo-Decoding on Embedded Multiprocessors,telecommunication
2003,Exploiting the Routing Flexibility for Energy/Performance Aware Mapping of Regular NoC Architectures.,"Mapping,routing,power consumption"
2003,Load Distribution with the Proximity Congestion Awareness in a Network on Chip.,"crossbar, flow control"
2003,Trade Offs in the Design of a Router with Both Guaranteed and Best-Effort Services for Networks on Chip.,flow control
2004,Communication analysis for system-on-chip design,modeling
2004,Design and Behavioral Modeling Tools for Optical Network-on-Chip,"optical,modeling"
2004,A mapping strategy for resource-efficient network processing on multiprocessor SoCs,mapping
2004,A Case Study in Networks-on-Chip Design for Embedded Video,multimedia
2004,Bandwidth-Constrained Mapping of Cores onto NoC Architectures,mapping
2004,Cost-Performance Trade-Offs in Networks on Chip: A Simulation-Based Approach,"Emulation and Simulation/Simulator, modeling"
2004,Guaranteed Bandwidth Using Looped Containers in Temporally Disjoint Networks within the Nostrum Network on Chip,flow control
2004,Analyzing On-Chip Communication in a MPSoC Environment,"modeling, Emulation and Simulation/Simulator"
2004,×pipesCompiler: A Tool for Instantiating Application Specific Networks on Chip,"application-specific, synthesis"
2004,Supporting cache coherence in heterogeneous multiprocessor systems,cache
2004,A System Level Processor/Communication Co-Exploration Methodology for Multi-Processor System-on-Chip Platform,design space exploration
2004,A Power and Performance Model for Network-on-Chip Architectures,modeling
2004,Using a Communication Architecture Specification in an Application-Driven Retargetable Prototyping Platform for Multiprocessing,"modeling,Emulation and Simulation/Simulator"
2004,Modeling Shared Resource Contention Using a Hybrid Simulation/Analytical Approach,"modeling,Emulation and Simulation/Simulator"
2004,Unified Component Integration Flow for Multi-Processor SoC Design and Validation,synthesis
2004,An Interconnect Channel Design Methodology for High Performance Integrated Circuits,link
2004,"An Efficient On-Chip Network Interface Offering Guaranteed Services, Shared-Memory Abstraction, and Flexible Network Configuration",NI design
2004,Energy-Aware Communication and Task Scheduling for Network-on-Chip Architectures under Real-Time Constraints,"scheduling,NoC for real-time (critical) systems"
2005,Test Time Reduction Reusing Multiple Processors in a Network-on-Chip Based Architecture.,testing and diagnosis
2005,A Router Architecture for Connection-Oriented Service Guarantees in the MANGO Clockless Network-on-Chip.,router design
2005,A Complete Network-On-Chip Emulation Framework.,Emulation and Simulation/Simulator
2005,A Design Flow for Application-Specific Networks on Chip with Guaranteed Performance to Accelerate SOC Design and Verification.,"Verification, Design space exploration"
2005,Hotspot Prevention Through Runtime Reconfiguration in Network-On-Chip.,reconfiguration
2005,Design of a Virtual Component Neutral Network-on-Chip Transaction Layer.,
2005,Energy- and Performance-Driven NoC Communication Architecture Synthesis Using a Decomposition Approach.,"performance,synthesis,power consumption"
2005,Centralized Run-Time Resource Management in a Network-on-Chip Containing Reconfigurable Hardware Tiles.,reconfiguration
2005,xpipes Lite - A Synthesis Oriented Design Library For Networks on Chips.,synthesis
2005,Predictable Embedding of Large Data Structures in Multiprocessor Networks-on-Chip.,
2005,A Quality-of-Service Mechanism for Interconnection Networks in System-on-Chips,QoS
2005,UML 2 and SysML - An Approach to Deal with Complexity in SoC/NoC Design.,modeling
2005,Leakage-Aware Interconnect for On-Chip Network.,link
2005,A Technology-Aware and Energy-Oriented Topology Exploration for On-Chip Networks.,"topology,power consumption, design space exploration"
2005,Exploring NoC Mapping Strategies - An Energy and Timing Aware Technique.,"mapping,power consumption"
2005,MultiNoC - A Multiprocessing System Enabled by a Network on Chip.,"reliability,routing"
2005,A Network Traffic Generator Model for Fast Network-on-Chip Simulation.,traffic generator
2006,Networks on chips for high-end consumer-electronics TV system architectures,consumer-electronics
2006,"Simulation and analysis of network on chip architectures: ring, spidergon and 2D mesh","Emulation and Simulation/Simulator,topology, "
2006,GALS networks on chip: a new solution for asynchronous delay-insensitive links,asynchronous
2006,Flexible MPSoC platform with fast interconnect exploration for optimal system performance for a specific application,"Emulation and Simulation/Simulator, Topology"
2006,STAX: statistical crosstalk target set compaction,link
2006,A fast-lock mixed-mode DLL with wide-range operation and multiphase outputs,link
2007,"Joint consideration of fault-tolerance, energy-efficiency and performance in on-chip networks","fault tolerance,power/thermal management"
2007,Hard- and software modularity of the NOVA MPSoC platform,NoC for many-core
2007,"Capturing the interaction of the communication, memory and I/O subsystems in memory-centric industrial MPSoC platforms",NoC for memory
2007,Butterfly and benes-based on-chip communication networks for multiprocessor turbo decoding,"topology, telecommunication"
2007,Remote testing and diagnosis of System-on-Chips using network management frameworks,testing and diagnosis
2007,"A scalable, timing-safe, network-on-chip architecture with an integrated clock distribution method.",timing
2007,Routing table minimization for irregular mesh NoCs.,"mesh,routing"
2007,Congestion-controlled best-effort communication for networks-on-chip.,flow control
2007,System level assessment of an optical NoC in an MPSoC platform.,optical
2007,Undisrupted quality-of-service during reconfiguration of multiple applications in networks on chip.,"reconfiguration,QoS"
2007,Using the inter- and intra-switch regularity in NoC switch testing.,testing and diagnosis
2007,Analytical router modeling for networks-on-chip performance analysis.,modeling
2007,Toward a scalable test methodology for 2D-mesh Network-on-Chips.,testing and diagnosis
2007,Systematic comparison between the asynchronous and the multi-synchronous implementations of a network on chip architecture.,asynchronous
2007,A multi-core debug platform for NoC-based systems.,debug
2008,User-Aware Dynamic Task Allocation in Networks-on-Chip.,"mapping, runtime"
2008,Design of a HW/SW Communication Infrastructure for a Heterogeneous Reconfigurable Processor.,"Reconfigurable,chip implementation"
2008,Memory-aware NoC Exploration and Design,"NoC for memory,design space exploration"
2008,Minimizing Virtual Channel Buffer for Routers in On-chip Communication Architectures.,Virtual Channel
2008,De Bruijn Graph as a Low Latency Scalable Architecture for Energy Efficient Massive NoCs.,"topology, De Bruijn"
2008,An Open-Loop Flow Control Scheme Based on the Accurate Global Information of On-Chip Communication.,Flow Control
2008,Developing Mesochronous Synchronizers to Enable 3D NoCs.,"3D,link"
2008,BARP-A Dynamic Routing Protocol for Balanced Distribution of Traffic in NoCs.,routing
2008,Comparison of memory write policies for NoC based Multicore Cache Coherent Systems.,cache
2008,Serialized Asynchronous Links for NoC.,"asynchronous,link"
2008,Memory Technology for Extended Large-Scale Integration in Future Electronics Applications.,"3D, NoC for Memory"
2008,Variation tolerant NoC design by means of self-calibrating links.,link
2008,Multicast Parallel Pipeline Router Architecture for Network-on-Chip.,Multicast
2008,In-band Cross-Trigger Event Transmission for Transaction-Based Debug.,debug
2008,Zero-Efficient Buffer Design for Reliable Network-on-Chip in Tiled Chip-Multi-Processor.,"reliability, buffer"
2008,Re-Examining the Use of Network-on-Chip as Test Access Mechanism.,testing and diagnosis
2008,Video Processing Requirements on SoC Infrastructures.,multimedia
2009,SCORES: A scalable and parametric streams-based communication architecture for modular reconfigurable systems,NoC for FPGA
2009,User-centric design space exploration for heterogeneous Network-on-Chip platforms.,design space exploration
2009,aEqualized - A novel routing algorithm for the Spidergon Network On Chip.,"routing, Spidergon"
2009,A link arbitration scheme for quality of service in a latency-optimized network-on-chip.,flow control
