paper_id,label,year
679290,679290,2018
679297,679297,2018
679296,679296,2018
679295,679295,2018
679291,679291,2018
679298,679298,2018
679293,679293,2018
679305,679305,2018
320636,320636,2019
679300,679300,2018
320635,320635,2019
320642,320642,2019
320626,320626,2019
679304,679304,2018
679308,679308,2018
320628,320628,2019
679310,679310,2018
320623,320623,2019
679309,679309,2018
1012857,1012857,2017
320643,320643,2019
679314,679314,2018
679302,679302,2018
1012860,1012860,2017
1012863,1012863,2017
679316,679316,2018
1012867,1012867,2017
320637,320637,2019
320621,320621,2019
1012866,1012866,2017
320633,320633,2019
1012859,1012859,2017
320625,320625,2019
1012874,1012874,2017
1012873,1012873,2017
320641,320641,2019
320624,320624,2019
1012870,1012870,2017
1012875,1012875,2017
320639,320639,2019
1012876,1012876,2017
1012865,1012865,2017
320638,320638,2019
1012871,1012871,2017
320629,320629,2019
1012861,1012861,2017
320630,320630,2019
1320580,1320580,2016
1320586,1320586,2016
320634,320634,2019
320622,320622,2019
320640,320640,2019
1320587,1320587,2016
320632,320632,2019
1012872,1012872,2017
1012868,1012868,2017
320631,320631,2019
1012862,1012862,2017
1618234,1618234,2015
1320599,1320599,2016
1012864,1012864,2017
1618237,1618237,2015
1012869,1012869,2017
1012858,1012858,2017
1618252,1618252,2015
1618248,1618248,2015
1618247,1618247,2015
1618235,1618235,2015
1618249,1618249,2015
1618245,1618245,2015
1618244,1618244,2015
1618246,1618246,2015
1618243,1618243,2015
1618253,1618253,2015
1618240,1618240,2015
1618257,1618257,2015
1618232,1618232,2015
1618242,1618242,2015
1618236,1618236,2015
1618251,1618251,2015
1618233,1618233,2015
1618260,1618260,2015
1618263,1618263,2015
1618250,1618250,2015
1618239,1618239,2015
320627,320627,2019
1618259,1618259,2015
1618256,1618256,2015
1900858,1900858,2014
1618258,1618258,2015
1900891,1900891,2014
1900884,1900884,2014
1900878,1900878,2014
1900882,1900882,2014
1618254,1618254,2015
1618238,1618238,2015
1618261,1618261,2015
1618262,1618262,2015
2177990,2177990,2013
1618255,1618255,2015
1320594,1320594,2016
679311,679311,2018
1320592,1320592,2016
1320577,1320577,2016
679299,679299,2018
1320590,1320590,2016
1320576,1320576,2016
679294,679294,2018
1320585,1320585,2016
1320588,1320588,2016
679301,679301,2018
679313,679313,2018
679303,679303,2018
1320595,1320595,2016
679306,679306,2018
679312,679312,2018
679292,679292,2018
1320591,1320591,2016
1320596,1320596,2016
1900859,1900859,2014
1320597,1320597,2016
1320581,1320581,2016
1900867,1900867,2014
679315,679315,2018
1320582,1320582,2016
1320579,1320579,2016
1320589,1320589,2016
1320601,1320601,2016
1900865,1900865,2014
1320600,1320600,2016
1900870,1900870,2014
1900861,1900861,2014
1900864,1900864,2014
1900876,1900876,2014
1320584,1320584,2016
1900869,1900869,2014
1320583,1320583,2016
1320598,1320598,2016
1900875,1900875,2014
1900877,1900877,2014
1900857,1900857,2014
1320593,1320593,2016
1320578,1320578,2016
1900868,1900868,2014
1900881,1900881,2014
1900862,1900862,2014
1900866,1900866,2014
1900873,1900873,2014
1320602,1320602,2016
679307,679307,2018
1900879,1900879,2014
1900874,1900874,2014
1900871,1900871,2014
1900889,1900889,2014
1900886,1900886,2014
1900888,1900888,2014
1900860,1900860,2014
2177992,2177992,2013
2177993,2177993,2013
2178002,2178002,2013
2177991,2177991,2013
1900883,1900883,2014
1900885,1900885,2014
2177999,2177999,2013
2178001,2178001,2013
2177998,2177998,2013
2178004,2178004,2013
1900893,1900893,2014
1900887,1900887,2014
2178008,2178008,2013
2178010,2178010,2013
1900872,1900872,2014
2177994,2177994,2013
1900880,1900880,2014
1900890,1900890,2014
1900892,1900892,2014
2177997,2177997,2013
2177996,2177996,2013
1900863,1900863,2014
2178003,2178003,2013
2178006,2178006,2013
2437734,2437734,2012
2178000,2178000,2013
2437741,2437741,2012
2178009,2178009,2013
2178005,2178005,2013
2437735,2437735,2012
2437737,2437737,2012
2437742,2437742,2012
2437743,2437743,2012
2437746,2437746,2012
2178007,2178007,2013
2437736,2437736,2012
2437744,2437744,2012
2437750,2437750,2012
2437751,2437751,2012
2437755,2437755,2012
2437747,2437747,2012
2685947,2685947,2011
2437753,2437753,2012
