Source,Target,Type,id,weight
679295,1097597,Directed,0,1
679295,3154012,Directed,1,1
679291,3315482,Directed,2,1
679291,2346444,Directed,3,1
679291,3254807,Directed,4,1
679291,1618251,Directed,5,1
679291,3509412,Directed,6,1
679291,3521012,Directed,7,1
679298,2062393,Directed,8,1
679298,3097264,Directed,9,1
679298,3274264,Directed,10,1
679298,3891501,Directed,11,1
679298,1903893,Directed,12,1
679298,3521035,Directed,13,1
679298,4453611,Directed,14,1
679298,3609769,Directed,15,1
679298,2062383,Directed,16,1
679293,4318618,Directed,17,1
679293,2437755,Directed,20,2
679293,2342652,Directed,22,2
679300,2207551,Directed,24,1
679300,2912726,Directed,25,1
679300,1012866,Directed,26,1
679300,730348,Directed,27,1
679300,2764956,Directed,28,1
679310,1012873,Directed,29,1
679310,3303547,Directed,30,1
679310,3050669,Directed,31,1
679310,1903760,Directed,32,1
679310,1319635,Directed,33,1
679310,2437752,Directed,34,1
679309,2769256,Directed,35,1
679309,2001377,Directed,36,1
679309,2305214,Directed,37,1
679309,1120348,Directed,38,1
679309,821732,Directed,39,1
679309,1618259,Directed,40,1
679309,1903881,Directed,41,1
679309,3303544,Directed,42,1
679309,2820520,Directed,43,1
679309,3699920,Directed,44,1
679309,4030729,Directed,45,1
679309,3307437,Directed,46,1
1012857,3332689,Directed,48,1
1012857,2932237,Directed,49,1
1012857,3509405,Directed,50,1
1012857,1900875,Directed,51,1
1012857,3015665,Directed,52,1
1012857,2001345,Directed,53,1
1012857,3630854,Directed,54,1
1012857,3033163,Directed,55,1
1012857,2280618,Directed,56,1
1012857,1097658,Directed,57,1
1012857,3129393,Directed,58,1
1012857,1319618,Directed,59,1
1012857,2912726,Directed,60,1
679314,4318618,Directed,61,1
679314,2548466,Directed,62,1
679314,2473602,Directed,63,1
679314,2445947,Directed,64,1
679314,3909047,Directed,65,1
679314,3655016,Directed,66,1
679314,2231949,Directed,67,1
679302,4008187,Directed,68,1
679302,2685948,Directed,70,1
1012860,2001338,Directed,71,1
1012863,4318618,Directed,73,1
679316,1858757,Directed,74,1
679316,2280780,Directed,75,1
679316,1900869,Directed,76,1
679316,1120325,Directed,77,1
679316,1900889,Directed,78,1
679316,2437752,Directed,79,1
679316,1012873,Directed,80,1
679316,2062393,Directed,81,1
679316,3307437,Directed,82,1
679316,1903881,Directed,83,1
679316,2342596,Directed,84,1
679316,1120365,Directed,85,1
679316,3427704,Directed,86,1
679316,1436595,Directed,87,1
679316,1005595,Directed,88,1
679316,3083681,Directed,89,1
1012867,2912701,Directed,90,1
1012867,2181334,Directed,91,1
1012867,3509420,Directed,92,1
1012867,1711788,Directed,94,1
1012866,3129364,Directed,95,1
1012866,4013803,Directed,98,1
1012866,2912726,Directed,99,1
1012874,3296790,Directed,105,1
1012874,1900868,Directed,106,1
1012874,2346444,Directed,107,1
1012873,2178011,Directed,108,1
1012873,1319635,Directed,109,1
1012873,1320598,Directed,110,1
1012873,2437752,Directed,111,1
1012870,2820520,Directed,112,1
1012870,3315492,Directed,114,1
1012870,2280661,Directed,115,1
1012870,3315502,Directed,116,1
1012870,2912717,Directed,117,1
1012870,3303544,Directed,118,1
1012870,3410591,Directed,119,1
1012870,3609802,Directed,120,1
1012870,4258658,Directed,121,1
1012875,2062383,Directed,122,1
1012875,1736072,Directed,123,1
1012875,3315482,Directed,124,1
1012875,2342596,Directed,125,1
1012875,2062393,Directed,126,1
1012875,3609769,Directed,127,1
1012875,2346444,Directed,128,1
1012875,3447704,Directed,129,1
1012875,2437752,Directed,130,1
1012875,1436646,Directed,131,1
1012875,1616156,Directed,132,1
1012876,4168353,Directed,134,1
1012876,2560776,Directed,135,1
1012871,2001405,Directed,137,1
1012871,2437752,Directed,138,1
1320580,2445947,Directed,139,1
1320586,4258604,Directed,141,1
1320586,3315502,Directed,142,1
1320586,1618234,Directed,143,1
1320586,1711699,Directed,144,1
1320586,2932237,Directed,145,1
1320586,1711692,Directed,146,1
1320586,2912705,Directed,147,1
1320586,3332698,Directed,148,1
1320586,2001270,Directed,149,1
1320586,3609802,Directed,150,1
1320586,3521043,Directed,151,1
1320586,2634087,Directed,152,1
1900858,3994320,Directed,153,1
1900858,2567939,Directed,154,1
1900882,2346444,Directed,156,1
1900882,2448623,Directed,157,1
1900882,2448673,Directed,158,1
1900882,4291892,Directed,159,1
2177990,3967217,Directed,160,1
679311,1616029,Directed,161,1
679311,1161536,Directed,162,1
679311,2280580,Directed,163,1
679311,2437752,Directed,165,1
679311,1618246,Directed,166,1
679311,664109,Directed,167,1
1320592,3609769,Directed,168,1
1320592,3855094,Directed,169,1
1320592,3609802,Directed,170,1
1320592,2820520,Directed,171,1
1320592,1618253,Directed,173,1
1320592,2166871,Directed,174,1
1320592,3254749,Directed,175,1
1320592,1618238,Directed,176,1
1320592,2995751,Directed,177,1
1320577,2854929,Directed,178,1
1320577,2603269,Directed,179,1
1320577,2062383,Directed,180,1
679299,4318618,Directed,181,1
679299,4291892,Directed,182,1
679299,3315492,Directed,183,1
679299,3303544,Directed,184,1
679299,2820520,Directed,185,1
679299,3509405,Directed,187,1
679299,3129393,Directed,188,1
1320576,4318618,Directed,189,1
1320576,1711662,Directed,191,1
1320576,1711625,Directed,192,1
1320576,3332688,Directed,193,1
1320576,3699941,Directed,194,1
1320576,2181290,Directed,195,1
679294,3609769,Directed,196,1
679294,3609802,Directed,197,1
679294,3303522,Directed,198,1
679294,3509412,Directed,199,1
679294,3307437,Directed,200,1
1320585,2001405,Directed,202,1
1320588,3609802,Directed,203,1
1320588,3533212,Directed,204,1
1320588,2437751,Directed,205,1
1320588,2912705,Directed,206,1
1320588,3332698,Directed,207,1
1320588,4100912,Directed,208,1
679303,4318618,Directed,214,1
679303,3967217,Directed,215,1
679303,3521012,Directed,216,1
679303,1615994,Directed,217,1
1320595,2280808,Directed,218,1
1320595,2932237,Directed,219,1
1320595,2860374,Directed,220,1
679306,2445947,Directed,221,1
679306,1413384,Directed,222,1
679306,3427639,Directed,223,1
679306,1618249,Directed,224,1
679306,3032908,Directed,225,1
679292,3410591,Directed,226,1
679292,3196541,Directed,227,1
679292,1120323,Directed,228,1
679292,1161536,Directed,229,1
1320591,2231954,Directed,231,1
1320591,2859434,Directed,232,1
1320591,2548258,Directed,233,1
1320591,2280601,Directed,234,1
1320597,3083651,Directed,235,1
