Source,Target,Type,weight,year
emerge technology,topology,Directed,1,2018
emerge technology,emerge technology,Directed,1,2018
emerge technology,topology,Directed,1,2018
emerge technology,3D NoC,Directed,1,2018
emerge technology,Link,Directed,1,2018
flow control,flow control,Directed,1,2018
flow control,Emulation and Simulation/Simulator,Directed,1,2018
flow control,topology,Directed,1,2018
flow control,Routing,Directed,1,2018
flow control,flow control,Directed,1,2018
flow control,router design,Directed,1,2018
flow control,modeling,Directed,1,2018
flow control,mapping,Directed,1,2018
flow control,emerge technology,Directed,1,2018
flow control,flow control,Directed,1,2018
flow control,NoC for real-time (critical) systems,Directed,1,2018
flow control,QoS,Directed,1,2018
flow control,flow control,Directed,1,2018
flow control,router design,Directed,1,2018
flow control,flow control,Directed,1,2018
router design,topology,Directed,1,2018
router design,NoC for memory,Directed,1,2018
router design,router design,Directed,1,2018
router design,NoC for memory,Directed,1,2018
router design,topology,Directed,1,2018
router design,router design,Directed,1,2018
router design,Routing,Directed,1,2018
router design,router design,Directed,1,2018
router design,Reconfiguration,Directed,1,2018
router design,Routing,Directed,1,2018
router design,modeling,Directed,1,2018
router design,router design,Directed,1,2018
router design,NoC for manycore,Directed,1,2018
router design,modeling,Directed,1,2018
router design,Emulation and Simulation/Simulator,Directed,1,2018
router design,NoC for memory,Directed,1,2018
adaptive,mapping,Directed,1,2018
emerge technology,mapping,Directed,1,2018
countermeasure,mapping,Directed,1,2018
Routing,mapping,Directed,1,2018
security,mapping,Directed,1,2018
adaptive,security,Directed,2,2018
emerge technology,security,Directed,2,2018
countermeasure,security,Directed,2,2018
Routing,security,Directed,2,2018
security,security,Directed,2,2018
adaptive,security,Directed,2,2018
emerge technology,security,Directed,2,2018
countermeasure,security,Directed,2,2018
Routing,security,Directed,2,2018
security,security,Directed,2,2018
mapping,NoC for different applications ,Directed,1,2018
mapping,NoC for manycore,Directed,1,2018
mapping,flow control,Directed,1,2018
mapping,Routing,Directed,1,2018
