source,target,year
Sourav Das,Kanad Basu,2018
Sourav Das,Janardhan Rao Doppa,2018
Sourav Das,Partha Pratim Pande,2018
Sourav Das,Ramesh Karri,2018
Sourav Das,Krishnendu Chakrabarty,2018
Kanad Basu,Janardhan Rao Doppa,2018
Kanad Basu,Partha Pratim Pande,2018
Kanad Basu,Ramesh Karri,2018
Kanad Basu,Krishnendu Chakrabarty,2018
Janardhan Rao Doppa,Partha Pratim Pande,2018
Janardhan Rao Doppa,Ramesh Karri,2018
Janardhan Rao Doppa,Krishnendu Chakrabarty,2018
Partha Pratim Pande,Ramesh Karri,2018
Partha Pratim Pande,Krishnendu Chakrabarty,2018
Ramesh Karri,Krishnendu Chakrabarty,2018
Abhijit Das 0002,Sarath Babu,2018
Abhijit Das 0002,John Jose,2018
Abhijit Das 0002,Sangeetha Jose,2018
Abhijit Das 0002,Maurizio Palesi,2018
Sarath Babu,John Jose,2018
Sarath Babu,Sangeetha Jose,2018
Sarath Babu,Maurizio Palesi,2018
John Jose,Sangeetha Jose,2018
John Jose,Maurizio Palesi,2018
Sangeetha Jose,Maurizio Palesi,2018
Ahsen Ejaz,Vassilios Papaefstathiou,2018
Ahsen Ejaz,Ioannis Sourdis,2018
Vassilios Papaefstathiou,Ioannis Sourdis,2018
Travis H. Boraten,Avinash Karanth Kodi,2018
Mayank Parasar,Tushar Krishna,2019
Arash Firuzan,Mehdi Modarressi,2018
Arash Firuzan,Masoud Daneshtalab,2018
Arash Firuzan,Midia Reshadi,2018
Mehdi Modarressi,Masoud Daneshtalab,2018
Mehdi Modarressi,Midia Reshadi,2018
Masoud Daneshtalab,Midia Reshadi,2018
Vasil Pano,Ragh Kuttappa,2019
Vasil Pano,Baris Taskin,2019
Ragh Kuttappa,Baris Taskin,2019
Boris Vaisband,Subramanian S. Iyer,2019
Luka Daoud,Nader Rafla,2019
Hossein Farrokhbakht,Henry Kao,2019
Hossein Farrokhbakht,Natalie D. Enright Jerger,2019
Henry Kao,Natalie D. Enright Jerger,2019
Sudeep Pasricha,Sai Vineel Reddy Chittamuru,2018
Sudeep Pasricha,Ishan G. Thakkar,2018
Sudeep Pasricha,Varun Bhat,2018
Sai Vineel Reddy Chittamuru,Ishan G. Thakkar,2018
Sai Vineel Reddy Chittamuru,Varun Bhat,2018
Ishan G. Thakkar,Varun Bhat,2018
Janibul Bashir,Khushal Sethi,2019
Janibul Bashir,Smruti R. Sarangi,2019
Khushal Sethi,Smruti R. Sarangi,2019
Mayank Parasar,Ankit Sinha,2018
Mayank Parasar,Tushar Krishna,2018
Ankit Sinha,Tushar Krishna,2018
Kshitij Bhardwaj,Weiwei Jiang,2017
Kshitij Bhardwaj,Steven M. Nowick,2017
Weiwei Jiang,Steven M. Nowick,2017
Michael Vonbun,Adrian Schiechel,2019
Michael Vonbun,Nguyen Anh Vu Doan,2019
Michael Vonbun,Thomas Wild,2019
Michael Vonbun,Andreas Herkersdorf,2019
Adrian Schiechel,Nguyen Anh Vu Doan,2019
Adrian Schiechel,Thomas Wild,2019
Adrian Schiechel,Andreas Herkersdorf,2019
Nguyen Anh Vu Doan,Thomas Wild,2019
Nguyen Anh Vu Doan,Andreas Herkersdorf,2019
Thomas Wild,Andreas Herkersdorf,2019
Abhishek Vashist,Amlan Ganguly,2018
Abhishek Vashist,Mark Indovina,2018
Amlan Ganguly,Mark Indovina,2018
Dimitris Giannopoulos,Nikos Chrysos,2018
Dimitris Giannopoulos,Evangelos Mageiropoulos,2018
Dimitris Giannopoulos,Giannis Vardas,2018
Dimitris Giannopoulos,Leandros Tzanakis,2018
Dimitris Giannopoulos,Manolis Katevenis,2018
Nikos Chrysos,Evangelos Mageiropoulos,2018
Nikos Chrysos,Giannis Vardas,2018
Nikos Chrysos,Leandros Tzanakis,2018
Nikos Chrysos,Manolis Katevenis,2018
Evangelos Mageiropoulos,Giannis Vardas,2018
Evangelos Mageiropoulos,Leandros Tzanakis,2018
Evangelos Mageiropoulos,Manolis Katevenis,2018
Giannis Vardas,Leandros Tzanakis,2018
Giannis Vardas,Manolis Katevenis,2018
Leandros Tzanakis,Manolis Katevenis,2018
Charles Effiong,Gilles Sassatelli,2017
Charles Effiong,Abdoulaye Gamati¨¦,2017
Gilles Sassatelli,Abdoulaye Gamati¨¦,2017
Ahmed Hemani,Syed Mohammad Asad Hassan Jafri,2017
Ahmed Hemani,Shayesteh Masoumian,2017
Syed Mohammad Asad Hassan Jafri,Shayesteh Masoumian,2017
Sebastian Werner,Pouya Fotouhi,2018
Sebastian Werner,Roberto Proietti,2018
Sebastian Werner,Xian Xiao,2018
Sebastian Werner,S. J. Ben Yoo,2018
Pouya Fotouhi,Roberto Proietti,2018
Pouya Fotouhi,Xian Xiao,2018
Pouya Fotouhi,S. J. Ben Yoo,2018
Roberto Proietti,Xian Xiao,2018
Roberto Proietti,S. J. Ben Yoo,2018
Xian Xiao,S. J. Ben Yoo,2018
Bing Li,Xiaohang Wang,2017
Bing Li,Amit Kumar Singh 0002,2017
Bing Li,Terrence S. T. Mak,2017
Xiaohang Wang,Amit Kumar Singh 0002,2017
Xiaohang Wang,Terrence S. T. Mak,2017
Amit Kumar Singh 0002,Terrence S. T. Mak,2017
Md Farhadur Reza,Paul Ampadu,2019
Ivan Perez 0004,Enrique Vallejo 0001,2019
Ivan Perez 0004,Ram¨®n Beivide,2019
Enrique Vallejo 0001,Ram¨®n Beivide,2019
Hyoukjun Kwon,Ananda Samajdar,2017
Hyoukjun Kwon,Tushar Krishna,2017
Ananda Samajdar,Tushar Krishna,2017
Jaechul Lee,C¨¦dric Killian,2019
Jaechul Lee,S¨¦bastien Le Beux,2019
Jaechul Lee,Daniel Chillet,2019
C¨¦dric Killian,S¨¦bastien Le Beux,2019
C¨¦dric Killian,Daniel Chillet,2019
S¨¦bastien Le Beux,Daniel Chillet,2019
Gaoming Du,Yongliang Zhang,2017
Gaoming Du,Zhenmin Li,2017
Gaoming Du,Guanyu Liu,2017
Gaoming Du,Duoli Zhang,2017
Gaoming Du,Yiming Ouyang,2017
Yongliang Zhang,Zhenmin Li,2017
Yongliang Zhang,Guanyu Liu,2017
Yongliang Zhang,Duoli Zhang,2017
Yongliang Zhang,Yiming Ouyang,2017
Zhenmin Li,Guanyu Liu,2017
Zhenmin Li,Duoli Zhang,2017
Zhenmin Li,Yiming Ouyang,2017
Guanyu Liu,Duoli Zhang,2017
Guanyu Liu,Yiming Ouyang,2017
Duoli Zhang,Yiming Ouyang,2017
Kun-Chih Jimmy Chen,Masoumeh Ebrahimi,2019
Kun-Chih Jimmy Chen,Ting-Yi Wang,2019
Kun-Chih Jimmy Chen,Yuch-Chi Yang,2019
Masoumeh Ebrahimi,Ting-Yi Wang,2019
Masoumeh Ebrahimi,Yuch-Chi Yang,2019
Ting-Yi Wang,Yuch-Chi Yang,2019
Zicong Wang,Xiaowen Chen,2017
Zicong Wang,Chen Li 0015,2017
Zicong Wang,Yang Guo,2017
Xiaowen Chen,Chen Li 0015,2017
Xiaowen Chen,Yang Guo,2017
Chen Li 0015,Yang Guo,2017
Ishan G. Thakkar,Sai Vineel Reddy Chittamuru,2017
Ishan G. Thakkar,Sudeep Pasricha,2017
Sai Vineel Reddy Chittamuru,Sudeep Pasricha,2017
Joel Ortiz Sosa,Olivier Sentieys,2019
Joel Ortiz Sosa,Christian Roland,2019
Joel Ortiz Sosa,Cedric Killian,2019
Olivier Sentieys,Christian Roland,2019
Olivier Sentieys,Cedric Killian,2019
Christian Roland,Cedric Killian,2019
Navonil Chatterjee,Hemanta Kumar Mondal,2019
Navonil Chatterjee,Rodrigo Cataldo,2019
Navonil Chatterjee,Jean-Philippe Diguet,2019
Hemanta Kumar Mondal,Rodrigo Cataldo,2019
Hemanta Kumar Mondal,Jean-Philippe Diguet,2019
Rodrigo Cataldo,Jean-Philippe Diguet,2019
J?rg Mische,Christian Mellwig,2017
J?rg Mische,Alexander Stegmeier,2017
J?rg Mische,Martin Frieb,2017
J?rg Mische,Theo Ungerer,2017
Christian Mellwig,Alexander Stegmeier,2017
Christian Mellwig,Martin Frieb,2017
Christian Mellwig,Theo Ungerer,2017
Alexander Stegmeier,Martin Frieb,2017
Alexander Stegmeier,Theo Ungerer,2017
Martin Frieb,Theo Ungerer,2017
Peng Wang 0036,Sobhan Niknam,2017
Peng Wang 0036,Zhiying Wang,2017
Peng Wang 0036,Todor P. Stefanov,2017
Sobhan Niknam,Zhiying Wang,2017
Sobhan Niknam,Todor P. Stefanov,2017
Zhiying Wang,Todor P. Stefanov,2017
Hesam Shabani,Xiaochen Guo,2019
Young-Jin Yoon,Paolo Mantovani,2017
Young-Jin Yoon,Luca P. Carloni,2017
Paolo Mantovani,Luca P. Carloni,2017
Vipin Kumar Kukkala,Sudeep Pasricha,2017
Vipin Kumar Kukkala,Thomas Bradley,2017
Sudeep Pasricha,Thomas Bradley,2017
Marcelo Ruaro,Nedison Velloso,2019
Marcelo Ruaro,Axel Jantsch,2019
Marcelo Ruaro,Fernando Gehm Moraes,2019
Nedison Velloso,Axel Jantsch,2019
Nedison Velloso,Fernando Gehm Moraes,2019
Axel Jantsch,Fernando Gehm Moraes,2019
Hiroshi Nakahara,Ng. Anh Vu Doan,2017
Hiroshi Nakahara,Ryota Yasudo,2017
Hiroshi Nakahara,Hideharu Amano,2017
Ng. Anh Vu Doan,Ryota Yasudo,2017
Ng. Anh Vu Doan,Hideharu Amano,2017
Ryota Yasudo,Hideharu Amano,2017
Biresh Kumar Joardar,Priyanka Ghosh,2019
Biresh Kumar Joardar,Partha Pratim Pande,2019
