Id,Label,Weight,Year
A. Elantably,A. Elantably,0.5,2017
Aamer Jaleel,Aamer Jaleel,0.2,2019
Aaron Carpenter,Aaron Carpenter,2,2011
Abbas BanaiyanMofrad,Abbas BanaiyanMofrad,1,2013
Abbas Eslami Kiasari,Abbas Eslami Kiasari,1,2013
Abbas Mazloumi,Abbas Mazloumi,1,2015
Abbas Sheibanyrad,Abbas Sheibanyrad,2.333333333,2006
Abdelkarim Mercha,Abdelkarim Mercha,0.25,2011
Abdoulaye Gamati¨¦,Abdoulaye Gamati¨¦,0.333333333,2017
Abhijit Das 0002,Abhijit Das 0002,1,2018
Abhishek Das,Abhishek Das,1,2012
Abhishek Vashist,Abhishek Vashist,1,2018
Achim Nohl,Achim Nohl,0.142857143,2004
Ad M. G. Peeters,Ad M. G. Peeters,0.333333333,2002
Adam Kaplan,Adam Kaplan,0.333333333,2008
Adam Kostrzewa,Adam Kostrzewa,2,2016
Adam S. Hartman,Adam S. Hartman,0.5,2010
Aditi Kulkarni Mohite,Aditi Kulkarni Mohite,0.5,2017
Aditya Narayan,Aditya Narayan,1.083333333,2019
Adnan Aziz,Adnan Aziz,0.333333333,2007
Adrian Colaso,Adrian Colaso,0.25,2012
Adrian Schiechel,Adrian Schiechel,0.5,2019
Adrijean Andriahantenaina,Adrijean Andriahantenaina,1,2003
Ad¨¢n Kohler,Ad¨¢n Kohler,2,2009
Ahmad Samih,Ahmad Samih,1,2013
Ahmed Abousamra,Ahmed Abousamra,3,2011
Ahmed Amine Jerraya,Ahmed Amine Jerraya,1.116666667,2004
Ahmed Hemani,Ahmed Hemani,1.125,2002
Ahmed Jerraya,Ahmed Jerraya,0.25,2010
Ahmed Louri,Ahmed Louri,4.25,2008
Ahsen Ejaz,Ahsen Ejaz,1,2018
Ajay Joshi,Ajay Joshi,3.916666667,2009
Akash Kumar 0001,Akash Kumar 0001,1.333333333,2013
Akbar Sharifi,Akbar Sharifi,1,2010
Akhilesh Kumar,Akhilesh Kumar,0.25,2013
Akram Ben Ahmed,Akram Ben Ahmed,1,2018
Al Davis,Al Davis,0.75,2011
Alain Clouard,Alain Clouard,0.25,2005
Alain Fourmigue,Alain Fourmigue,1.5,2011
Alain Greiner,Alain Greiner,3.916666667,2003
Alain M¨¦rigot,Alain M¨¦rigot,0.25,2010
Alain Phommahaxay,Alain Phommahaxay,0.043478261,2011
Alan Burns,Alan Burns,1.5,2008
Alan J. Hu,Alan J. Hu,0.25,2006
Alan Rolf Mickelson,Alan Rolf Mickelson,0.333333333,2009
Alan Smith,Alan Smith,0.2,2020
Albert Cabellos-Aparicio,Albert Cabellos-Aparicio,1.333333333,2013
Albert M. Young,Albert M. Young,0.090909091,2007
Alberto Celin,Alberto Celin,0.5,2016
Alberto Garc¨ªa Ortiz,Alberto Garc¨ªa Ortiz,0.333333333,2018
Alberto Ghiribaldi,Alberto Ghiribaldi,2.033333333,2013
Alberto L. Sangiovanni-Vincentelli,Alberto L. Sangiovanni-Vincentelli,0.142857143,2001
Alberto Scandurra,Alberto Scandurra,0.2,2004
Aleksandr Biberman,Aleksandr Biberman,2,2007
Alenka G. Zajic,Alenka G. Zajic,0.333333333,2011
Alessandro Capotondi,Alessandro Capotondi,0.333333333,2014
Alessandro Cilardo,Alessandro Cilardo,0.5,2016
Alessandro Pilia,Alessandro Pilia,0.333333333,2010
Alessandro Strano,Alessandro Strano,2,2009
Alex Bobrek,Alex Bobrek,1,2004
Alex K. Jones,Alex K. Jones,1.75,2010
Alex Yakovlev,Alex Yakovlev,0.416666667,2014
Alexander Biewer,Alexander Biewer,1,2014
Alexander G. Schwing,Alexander G. Schwing,0.2,2019
Alexander Hall,Alexander Hall,0.333333333,2009
Alexander Sprintson,Alexander Sprintson,0.666666667,2010
Alexander Stegmeier,Alexander Stegmeier,0.333333333,2017
Alexander Tschiene,Alexander Tschiene,1,2014
Alexandre Briere,Alexandre Briere,0.142857143,2014
Alexandre Coelho,Alexandre Coelho,1,2018
Alexandre Guerre,Alexandre Guerre,1,2010
Alexandre M. Amory,Alexandre M. Amory,3.333333333,2005
Alexandre Valentian,Alexandre Valentian,0.142857143,2009
Alexandre Yakovlev,Alexandre Yakovlev,1.9,2007
Alexandros Daglis,Alexandros Daglis,1,2015
Alexandros G. Dimakis,Alexandros G. Dimakis,0.25,2015
Ali Afzali-Kusha,Ali Afzali-Kusha,0.533333333,2009
Ali Ahmadinia,Ali Ahmadinia,0.5,2005
Ali Bakhoda,Ali Bakhoda,1,2010
Ali Shafiee,Ali Shafiee,0.5,2012
Aliaksei Chapyzhenka,Aliaksei Chapyzhenka,0.25,2007
Aline Mello,Aline Mello,2.333333333,2004
Alireza Ejlali,Alireza Ejlali,2,2007
Alistair C. Bruce,Alistair C. Bruce,0.25,2009
Almutaz Adileh,Almutaz Adileh,0.5,2019
Alois C. Knoll,Alois C. Knoll,0.2,2012
Alok Garg,Alok Garg,0.5,2010
Alok N. Choudhary,Alok N. Choudhary,0.566666667,2009
Alon Amir,Alon Amir,0.166666667,2002
Altamiro Amadeu Susin,Altamiro Amadeu Susin,1.083333333,2003
Alvin R. Lebeck,Alvin R. Lebeck,0.5,2001
Amer Baghdadi,Amer Baghdadi,1.333333333,2004
Amin Ansari,Amin Ansari,1,2014
Amin Rezaei,Amin Rezaei,1,2016
Amir Charif,Amir Charif,0.5,2018
Amir Kavyan Ziabari,Amir Kavyan Ziabari,1,2015
Amir-Mohammad Rahmani,Amir-Mohammad Rahmani,2.333333333,2011
Amirhossein Mirhosseini,Amirhossein Mirhosseini,1.5,2017
Amisha Parikh,Amisha Parikh,0.166666667,2001
Amit Kumar 0002,Amit Kumar 0002,3.333333333,2004
Amit Kumar Singh 0002,Amit Kumar Singh 0002,2.583333333,2013
Amit Verma,Amit Verma,1,2013
Amlan Ganguly,Amlan Ganguly,7.033333333,2009
Ammar Karkar,Ammar Karkar,2,2014
Amr Helmy,Amr Helmy,0.5,2007
An-Yeu Wu,An-Yeu Wu,0.65,2007
Anand Raghunathan,Anand Raghunathan,1.333333333,2004
Ananda Samajdar,Ananda Samajdar,1,2017
Anant Agarwal,Anant Agarwal,1.683333333,2007
Ananth Kalyanaraman,Ananth Kalyanaraman,0.833333333,2015
Anantha Chandrakasan,Anantha Chandrakasan,0.4,2012
Anantha P. Chandrakasan,Anantha P. Chandrakasan,1.041666667,2013
Anastasios Psarras,Anastasios Psarras,2,2014
Anatoly Sherman,Anatoly Sherman,0.142857143,2002
Anca Mariana Molnos,Anca Mariana Molnos,0.5,2012
Andrea Calimera,Andrea Calimera,0.25,2018
Andrea Marongiu,Andrea Marongiu,1.125,2012
Andrea Mineo,Andrea Mineo,3.5,2014
Andreas Hansson,Andreas Hansson,7,2005
Andreas Herkersdorf,Andreas Herkersdorf,0.894444444,2010
Andreas Lankes,Andreas Lankes,1,2010
Andreas Raabe,Andreas Raabe,0.333333333,2012
Andreas Steininger,Andreas Steininger,0.5,2014
Andreas Weichslgartner,Andreas Weichslgartner,1.2,2011
Andreas Wieferink,Andreas Wieferink,1,2004
Andreas Zankl,Andreas Zankl,0.333333333,2018
Andreas Zwinkau,Andreas Zwinkau,0.333333333,2014
