author,year,paper_id,topic,列1,列2,列3,列4,列5
A. Elantably,2017,1097707,topology,emerge technology,,,,
Aamer Jaleel,2019,452806,NoC for memory,,,,,
Aaron Carpenter,2011,2854929,emerge technology,,,,,
Abbas BanaiyanMofrad,2013,2280542,modeling,Reliability,NoC for memory,,,
Abbas Eslami Kiasari,2013,2243540,modeling,,,,,
Abbas Mazloumi,2015,1711662,flow control,NoC for memory,,,,
Abbas Sheibanyrad,2006,3889739,flow control,flow control,,,,
Abdelkarim Mercha,2011,2734388,topology,,,,,
Abdoulaye Gamatié,2017,1012860,router design,,,,,
Abhijit Das 0002,2018,679291,flow control,,,,,
Abhishek Das,2012,2548312,NoC for memory,,,,,
Abhishek Vashist,2018,679314,NoC for many-core,,,,,
Achim Nohl,2004,4134889,mapping,,,,,
Ad M. G. Peeters,2002,4358199,flow control,,,,,
Adam Kaplan,2008,3480589,emerge technology,,,,,
Adam Kostrzewa,2016,1320586,NoC for real-time (critical) systems,,,,,
Adam S. Hartman,2010,3033086,Reliability,,,,,
Adán Kohler,2009,3129378,Reliability,,,,,
Aditi Kulkarni Mohite,2017,1005516,NoC for architecture,,,,,
Aditya Narayan,2019,383028,NoC for SiP,emerge technology,,,,
Adnan Aziz,2007,3521046,NoC for FPGAs,,,,,
Adrian Colaso,2012,2437733,Emulation and Simulation/Simulator,,,,,
Adrian Schiechel,2019,320643,flow control,,,,,
Adrijean Andriahantenaina,2003,4258404,NoC for manycore,,,,,
Ahmad Samih,2013,2305214,reconfiguration,,,,,
Ahmed Abousamra,2011,2685947,Link,emerge technology,,,,
Ahmed Amine Jerraya,2004,4134657,mapping,,,,,
Ahmed Hemani,2002,4383766,mapping,NoC for memory,NoC for FPGA,topology,physical design,
Ahmed Jerraya,2010,3032959,modeling,,,,,
Ahmed Louri,2008,3509409,link,power consumption,area,flow control,,
Ahsen Ejaz,2018,679298,router design,,,,,
Akash Kumar 0001,2013,2181429,NoC for different applications,,,,,
Akbar Sharifi,2010,3033147,QoS,,,,,
Akhilesh Kumar,2013,2305188,mapping,NoC for memory,,,,
Akram Ben Ahmed,2018,679292,emerge technology,approximate NoC,NoC for real-time (critical) systems,,,
Al Davis,2011,2854927,emerge technology,topology,,,,
Alain Clouard,2005,3982562,flow control,,,,,
Alain Fourmigue,2011,2796985,temperature,topology,,,,
Alain Greiner,2006,3889739,flow control,flow control,,,,
Alain Mérigot,2010,2912707,NoC for different applications,,,,,
Alain Phommahaxay,2011,2734388,topology,,,,,
Alan J. Hu,2006,3795167,mapping,testing and diagnosis,,,,
Alan Smith,2020,114141,router design,flow control,,,,
Albert Cabellos-Aparicio,2013,2161057,emerge technology,routing,,,,
Albert M. Young,2007,3552799,topology,NoC for different applications,,,,
Alberto Celin,2016,1320589,testing and diagnosis,,,,,
Alberto García Ortiz,2018,663992,3D NoC,,,,,
Alberto Ghiribaldi,2013,2280618,flow control,router design,,,,
Alberto L. Sangiovanni-Vincentelli,2001,4445955,mapping,,,,,
Alberto Scandurra,2004,4172309,topology,,,,,
Aleksandr Biberman,2007,3671861,NoC for memory,emerge technology,,,,
Alenka G. Zajic,2011,2854954,emerge technology,,,,,
Alessandro Cilardo,2016,1413426,emerge technology,,,,,
Alessandro Cremonesi,2010,2912703,Reliability,,,,,
Alessandro Pilia,2010,2912720,flow control,,,,,
Alessandro Strano,2010,3033067,GALS,mapping,mapping,link,,
Alex Bobrek,2004,4134608,modeling,Emulation and Simulation/Simulator,,,,
